"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"04/01/2016","HICONNDA   #021305","SUPPL-39","SODIUM IODIDE I-131","JUBILANT","Manufacturing (CMC)","Approval"
"04/01/2016","SODIUM IODIDE I 131NDA   #021305","SUPPL-39","SODIUM IODIDE I-131","JUBILANT","Manufacturing (CMC)","Approval"
"04/01/2016","TINDAMAXNDA   #021618","SUPPL-5","TINIDAZOLE","MISSION PHARMA","Manufacturing (CMC)","Approval"
"04/01/2016","ROSIGLITAZONE MALEATE AND GLIMEPIRIDEANDA  #078709","ORIG-1","GLIMEPIRIDE; ROSIGLITAZONE MALEATE","TEVA PHARMS USA","","Approval"
"04/01/2016","JUBLIANDA   #203567","SUPPL-5","EFINACONAZOLE","BAUSCH","Manufacturing (CMC)","Approval"
"04/01/2016","TRIUMEQNDA   #205551","SUPPL-6","ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE","VIIV HLTHCARE","Manufacturing (CMC)","Approval"
"04/04/2016","ZYRTEC ALLERGYNDA   #019835","SUPPL-36","CETIRIZINE HYDROCHLORIDE","J AND J CONSUMER INC","Manufacturing (CMC)","Approval"
"04/04/2016","ZYRTEC HIVES RELIEFNDA   #019835","SUPPL-36","CETIRIZINE HYDROCHLORIDE","J AND J CONSUMER INC","Manufacturing (CMC)","Approval"
"04/04/2016","HABITROLNDA   #020076","SUPPL-39","NICOTINE","DR REDDYS LABS SA","Manufacturing (CMC)","Approval"
"04/04/2016","VAGIFEMNDA   #020908","SUPPL-23","ESTRADIOL","NOVO NORDISK INC","Manufacturing (CMC)","Approval"
"04/04/2016","ACIPHEXNDA   #020973","SUPPL-33","RABEPRAZOLE SODIUM","WOODWARD","Labeling","Approval"
"04/04/2016","OXACILLIN SODIUMANDA  #062984","SUPPL-17","OXACILLIN SODIUM","WATSON LABS INC","Labeling","Approval"
"04/04/2016","CILOSTAZOLANDA  #077021","SUPPL-13","CILOSTAZOL","CASI PHARMS INC","Labeling","Approval"
"04/04/2016","CILOSTAZOLANDA  #077027","SUPPL-16","CILOSTAZOL","TEVA","Labeling","Approval"
"04/04/2016","CILOSTAZOLANDA  #077027","SUPPL-17","CILOSTAZOL","TEVA","Labeling","Approval"
"04/04/2016","CILOSTAZOLANDA  #077030","SUPPL-5","CILOSTAZOL","APOTEX INC","Labeling","Approval"
"04/04/2016","CILOSTAZOLANDA  #077030","SUPPL-6","CILOSTAZOL","APOTEX INC","Labeling","Approval"
"04/04/2016","CILOSTAZOLANDA  #077310","SUPPL-11","CILOSTAZOL","CASI PHARMS INC","Labeling","Approval"
