"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"10/01/2021","RISPERIDONEANDA  #076288","SUPPL-20","RISPERIDONE","MYLAN","Labeling","Approval"
"10/01/2021","LITHIUM CARBONATEANDA  #090702","SUPPL-7","LITHIUM CARBONATE","HETERO LABS LTD III","Labeling","Approval"
"10/01/2021","LITHIUM CARBONATEANDA  #090702","SUPPL-10","LITHIUM CARBONATE","HETERO LABS LTD III","Labeling","Approval"
"10/01/2021","ONDANSETRON HYDROCHLORIDEANDA  #091483","SUPPL-7","ONDANSETRON HYDROCHLORIDE","AMNEAL PHARMS","Labeling","Approval"
"10/01/2021","RAMIPRILANDA  #091604","SUPPL-10","RAMIPRIL","AUROBINDO PHARMA LTD","Labeling","Approval"
"10/01/2021","LEVETIRACETAMANDA  #201464","SUPPL-3","LEVETIRACETAM","PHARMADAX INC","Labeling","Approval"
"10/01/2021","EZETIMIBE AND SIMVASTATINANDA  #202968","SUPPL-5","EZETIMIBE; SIMVASTATIN","WATSON LABS INC","Labeling","Approval"
"10/01/2021","ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREEANDA  #206845","SUPPL-2","ONDANSETRON HYDROCHLORIDE","ACCORD HLTHCARE","Labeling","Approval"
"10/01/2021","ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREEANDA  #206845","SUPPL-7","ONDANSETRON HYDROCHLORIDE","ACCORD HLTHCARE","Labeling","Approval"
"10/01/2021","ONDANSETRON HYDROCHLORIDEANDA  #206846","SUPPL-2","ONDANSETRON HYDROCHLORIDE","ACCORD HLTHCARE","Labeling","Approval"
"10/01/2021","ONDANSETRON HYDROCHLORIDEANDA  #206846","SUPPL-7","ONDANSETRON HYDROCHLORIDE","ACCORD HLTHCARE","Labeling","Approval"
"10/01/2021","JENTADUETO XRNDA   #208026","SUPPL-20","LINAGLIPTIN; METFORMIN HYDROCHLORIDE","BOEHRINGER INGELHEIM","Labeling","Approval"
"10/01/2021","NEOSTIGMINE METHYLSULFATEANDA  #210652","ORIG-1","NEOSTIGMINE METHYLSULFATE","INDOCO","","Approval"
"10/01/2021","CASPOFUNGIN ACETATEANDA  #211263","ORIG-1","CASPOFUNGIN ACETATE","UBI","","Approval"
"10/01/2021","TALICIANDA   #213004","SUPPL-4","AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN","REDHILL","Labeling","Approval"
"10/01/2021","MEXILETINE HYDROCHLORIDEANDA  #214089","ORIG-1","MEXILETINE HYDROCHLORIDE","SENORES PHARMS","","Approval"
"10/01/2021","GABAPENTINANDA  #214957","ORIG-1","GABAPENTIN","ASCENT PHARMS INC","","Approval"
"10/01/2021","OSELTAMIVIR PHOSPHATEANDA  #215208","ORIG-1","OSELTAMIVIR PHOSPHATE","EPIC PHARMA LLC","","Approval"
"10/01/2021","DUPIXENTBLA   #761055","SUPPL-35","DUPILUMAB","REGENERON PHARMACEUTICALS","","Approval"
"10/01/2021","SOGROYABLA   #761156","SUPPL-1","SOMAPACITAN-BECO","NOVO NORDISK INC","","Approval"
"10/01/2021","SOGROYABLA   #761156","SUPPL-2","SOMAPACITAN-BECO","NOVO NORDISK INC","","Approval"
"10/04/2021","ESTRADIOLNDA   #020538","SUPPL-37","ESTRADIOL","NOVARTIS","Labeling","Approval"
"10/04/2021","ESTRADIOLNDA   #020538","SUPPL-39","ESTRADIOL","NOVARTIS","Labeling","Approval"
"10/04/2021","VIVELLE-DOTNDA   #020538","SUPPL-37","ESTRADIOL","NOVARTIS","Labeling","Approval"
"10/04/2021","VIVELLE-DOTNDA   #020538","SUPPL-39","ESTRADIOL","NOVARTIS","Labeling","Approval"
"10/04/2021","VENCLEXTANDA   #208573","SUPPL-24","VENETOCLAX","ABBVIE INC","Efficacy","Approval"
"10/04/2021","TRIKAFTA (COPACKAGED)NDA   #212273","SUPPL-8","ELEXACAFTOR, IVACAFTOR, TEZACAFTOR; IVACAFTOR","VERTEX PHARMS INC","Labeling","Approval"
"10/04/2021","FOSAPREPITANT DIMEGLUMINEANDA  #213199","ORIG-1","FOSAPREPITANT DIMEGLUMINE","PRAXGEN","","Approval"
"10/04/2021","OXYMETAZOLINE HYDROCHLORIDEANDA  #213584","ORIG-1","OXYMETAZOLINE HYDROCHLORIDE","TARO PHARMS","","Approval"
